,Price,Area,Location,No. of Bedrooms
5718,15500000,725,Thane West,2
5719,14900000,725,Thane West,2
5720,14800000,641,Thane West,2
5721,15700000,880,Thane West,3
5722,15500000,616,Thane West,2
5724,20000000,915,Thane West,2
5725,12900000,883,Thane West,2
5727,16000000,928,Thane West,2
5732,28500000,1150,Thane West,3
5733,30000000,957,Thane West,3
5734,5599000,450,Thane West,1
5736,7800000,550,Thane West,1
5737,18000000,750,Thane West,1
5739,13700000,808,Thane West,2
5740,19500000,1753,Thane West,4
5742,16399999,598,Thane West,2
5745,20299999,632,Thane West,2
5746,13700000,808,Thane West,2
5747,19500000,1753,Thane West,4
5749,11500000,598,Thane West,2
5751,11000000,663,Thane West,2
5752,17700000,761,Thane West,2
5754,12100000,632,Thane West,2
5755,15800000,641,Thane West,2
5757,8978000,616,Thane West,2
5759,11500000,725,Thane West,2
5762,10000000,550,Thane West,1
5768,4200000,650,Thane West,1
5769,10200000,650,Thane West,1
5770,15800000,687,Thane West,2
5771,22000000,1153,Thane West,3
5772,13000000,746,Thane West,2
5778,12800000,698,Thane West,2
5779,8400000,540,Thane West,1
5781,8700000,660,Thane West,1
5782,13000000,550,Thane West,1
5783,9350000,645,Titwala,1
5784,2394000,640,Titwala,1
5785,2436000,640,Titwala,1
5789,6000000,580,Titwala,1
5790,9200000,650,Titwala,1
5791,9520000,650,Titwala,1
5792,2779000,639,Titwala,1
5793,11200000,675,Titwala,1
5794,2283000,575,Titwala,1
5795,2435000,550,Titwala,1
5796,16299999,590,Titwala,1
5797,2574000,618,Titwala,1
5798,2551000,615,Titwala,1
5799,16800000,609,Titwala,1
5800,8500000,670,Titwala,1
5801,2156000,570,Titwala,1
5802,14900000,565,Titwala,1
5804,17400000,670,Titwala,1
5805,4500000,650,Titwala,1
5807,11200000,573,Ulwe,2
5810,5000000,735,Ulwe,1
5811,5800000,540,Ulwe,1
5813,5800000,540,Ulwe,1
5815,4500000,610,Ulwe,1
5816,14500000,1560,Ulwe,3
5818,4900000,700,Ulwe,1
5819,4500000,650,Ulwe,1
5820,4500000,650,Ulwe,1
5821,5500000,690,Ulwe,1
5823,7800000,690,Ulwe,1
5825,16200000,1090,Ulwe,2
5826,3500000,745,Ulwe,1
5827,8800000,670,Ulwe,1
5830,6200000,670,Ulwe,1
5831,5000000,693,Ulwe,1
5832,6500000,640,Ulwe,1
5835,6500000,385,Ulwe,1
5838,7500000,685,Ulwe,1
5839,9000000,980,Ulwe,2
5841,4500000,758,Ulwe,1
5842,4700000,689,Ulwe,1
5843,7600000,648,Ulwe,1
5850,8500000,686,Ulwe,1
5852,5000000,693,Ulwe,1
5853,6500000,640,Ulwe,1
5856,6500000,385,Ulwe,1
5859,7500000,685,Ulwe,1
5860,9000000,980,Ulwe,2
5862,4500000,758,Ulwe,1
5863,4700000,689,Ulwe,1
5864,7600000,648,Ulwe,1
5869,10300000,620,Ulwe,1
5870,6000000,715,Ulwe,1
5876,9700000,725,Ulwe,1
5880,8000000,655,Ulwe,1
5883,18200000,1100,Ulwe,2
5886,18200000,1100,Ulwe,2
5891,3700000,688,Ulwe,1
5892,3700000,667,Ulwe,1
5893,13500000,679,Ulwe,1
5894,5700000,725,Ulwe,1
5895,13799999,725,Ulwe,1
5896,4000000,665,Ulwe,1
5898,16000000,1075,Ulwe,2
5900,8600000,2905,Ulwe,5
5901,16000000,1690,Ulwe,3
5902,17500000,1215,Ulwe,2
5903,29200000,2905,Ulwe,4
5907,35000000,1700,Ulwe,3
5909,16500000,1660,Ulwe,3
5911,5250000,650,Ulwe,1
5912,3951000,650,Ulwe,1
5914,4500000,680,Ulwe,1
5915,4151000,680,Ulwe,1
5916,4151000,650,Ulwe,1
5917,3500000,650,Ulwe,1
5918,3500000,650,Ulwe,1
5919,2899000,650,Ulwe,1
5920,5999000,450,Ulwe,1
5922,3000000,650,Ulwe,1
5923,4550000,550,Ulwe,1
5924,3990000,650,Ulwe,1
5925,4000000,650,Ulwe,1
5926,4000000,650,Ulwe,1
5927,4151000,650,Ulwe,1
5928,4225000,650,Ulwe,1
5929,4140999,650,Ulwe,1
5930,3000000,650,Ulwe,1
5931,4000000,550,Ulwe,1
5932,6500000,650,Ulwe,1
5933,7150000,650,Ulwe,1
5934,10500000,1050,Ulwe,2
5935,3500000,650,Ulwe,1
5936,3500000,650,Ulwe,1
5937,4000000,650,Ulwe,1
5938,6800000,650,Ulwe,1
5940,8700000,650,Ulwe,1
5941,5100000,550,Ulwe,1
5942,4000000,650,Ulwe,1
5943,4099000,650,Ulwe,1
5944,4400000,650,Ulwe,1
5945,12000000,650,Ulwe,1
5947,4500000,450,Ulwe,1
5948,7198999,680,Ulwe,1
5951,4000000,550,Ulwe,1
5952,8700000,650,Ulwe,1
5953,4200000,640,Ulwe,1
5954,9000000,640,Ulwe,1
5955,7200000,450,Ulwe,1
5960,3950000,650,Ulwe,1
5961,4500000,630,Ulwe,1
5962,14500000,680,Ulwe,1
5963,15000000,1050,Ulwe,2
5965,4200000,650,Ulwe,1
5966,4200000,720,Ulwe,1
5967,4200000,720,Ulwe,1
5969,17500000,1550,Ulwe,3
5970,19500000,1350,Ulwe,2
5971,16500000,1156,Ulwe,2
5972,20000000,1660,Ulwe,3
5974,16500000,1156,Ulwe,2
5975,20000000,1660,Ulwe,3
5976,18500000,1650,Ulwe,3
5979,33500000,1650,Ulwe,3
5983,2500000,680,Ulwe,1
5987,5600000,670,Ulwe,1
5988,10100000,670,Ulwe,1
5990,4500000,675,Ulwe,1
5991,5000000,650,Ulwe,1
5992,5000000,735,Ulwe,1
5993,6800000,735,Ulwe,1
6001,5500000,650,Ulwe,1
6002,5000000,675,Ulwe,1
6003,5000000,650,Ulwe,1
6004,5000000,650,Ulwe,1
6005,7350000,650,Ulwe,1
6007,4000000,635,Ulwe,1
6008,4500000,600,Ulwe,1
6009,14000000,665,Ulwe,1
6010,4000000,650,Ulwe,1
6011,4000000,650,Ulwe,1
6012,7000000,650,Ulwe,1
6013,8000000,920,Ulwe,1
6015,8500000,650,Ulwe,1
6017,7000000,650,Ulwe,1
6018,5500000,650,Ulwe,1
6019,3500000,650,Ulwe,1
6020,4000000,620,Ulwe,1
6021,4000000,650,Ulwe,1
6022,4800000,650,Ulwe,1
6023,4800000,670,Ulwe,1
6025,6299000,670,Ulwe,1
6026,4200000,650,Ulwe,1
6027,4100000,650,Ulwe,1
6028,4500000,650,Ulwe,1
6029,4500000,650,Ulwe,1
6030,4500000,650,Ulwe,1
6031,7500000,420,Ulwe,1
6033,4500000,650,Ulwe,1
6034,4500000,650,Ulwe,1
6035,4500000,650,Ulwe,1
6036,2700000,650,Ulwe,1
6037,5500000,420,Ulwe,1
6038,12000000,1250,Ulwe,2
6039,12000000,1450,Ulwe,3
6041,9500000,1050,Ulwe,2
6042,14000000,1100,Ulwe,2
6045,5000000,650,Ulwe,1
6046,7500000,680,Ulwe,1
6049,5300000,420,Ulwe,1
6050,5200000,650,Ulwe,1
6051,3536000,650,Ulwe,1
6052,4000000,650,Ulwe,1
6053,3300000,650,Ulwe,1
6054,4200000,630,Ulwe,1
6055,4200000,650,Ulwe,1
6056,3700000,650,Ulwe,1
6057,4500000,650,Ulwe,1
6058,6000000,650,Ulwe,1
6059,6000000,650,Ulwe,1
6060,5400000,650,Ulwe,1
6061,4500000,650,Ulwe,1
6062,4361000,650,Ulwe,1
6063,3650000,650,Ulwe,1
6068,5700000,670,Ulwe,1
6069,9600000,670,Ulwe,1
6071,11500000,1123,Ulwe,2
6073,4700000,656,Ulwe,1
6074,6500000,656,Ulwe,1
6077,5400000,670,Ulwe,1
6078,13500000,980,Ulwe,2
6083,11000000,1000,Ulwe,2
6084,11500000,1350,Ulwe,3
6088,5100000,690,Ulwe,1
6089,6694000,690,Ulwe,1
6092,7800000,675,Ulwe,1
6093,8000000,750,Ulwe,1
6094,13000000,1350,Ulwe,2
6096,25000000,1155,Ulwe,2
6097,19000000,1155,Ulwe,2
6098,13500000,1260,Ulwe,2
6099,11800000,1235,Ulwe,2
6101,22500000,1580,Ulwe,3
6102,5990000,695,Ulwe,1
6106,4000000,450,Ulwe,1
6107,4000000,450,Ulwe,1
6108,5400000,700,Ulwe,1
6109,8800000,700,Ulwe,1
6110,3900000,697,Ulwe,1
6111,3900000,697,Ulwe,1
6112,3700000,727,Ulwe,1
6114,28000000,1250,Ulwe,2
6115,4300000,645,Ulwe,1
6116,7800000,610,Ulwe,1
6117,22000000,1660,Ulwe,3
6118,12500000,1240,Ulwe,2
6120,14600000,675,Ulwe,1
6121,14600000,675,Ulwe,1
6122,4179999,420,Ulwe,1
6124,22500000,1335,Ulwe,2
6129,4800000,687,Ulwe,1
6130,5600000,679,Ulwe,1
6133,5600000,667,Ulwe,1
6134,5700000,687,Ulwe,1
6135,12500000,1155,Ulwe,2
6136,7800000,685,Ulwe,1
6137,22500000,1350,Ulwe,3
6138,8900000,700,Ulwe,1
6140,12000000,1140,Ulwe,2
6141,11000000,1150,Ulwe,3
6145,5900000,735,Ulwe,1
6146,10000000,700,Ulwe,2
6147,8400000,700,Ulwe,2
6148,22500000,1548,Ulwe,3
6149,23000000,1145,Ulwe,2
6151,14800000,1635,Ulwe,3
6152,13500000,1635,Ulwe,3
6156,11500000,1158,Ulwe,2
6161,18500000,1157,Ulwe,2
6162,22500000,1165,Ulwe,2
6163,22500000,1140,Ulwe,2
6166,7500000,1107,Vasai,3
6169,3350000,650,Vasai,1
6172,18500000,1125,Vasai,3
6173,2596000,630,Vasai,1
6174,8000000,590,Vasai,1
6177,2795000,650,Vasai,1
6178,3977000,650,Vasai,1
6181,7500000,925,Vasai,2
6183,4600000,650,Vasai,1
6184,3800000,595,Vasai,1
6185,3000000,535,Vasai,1
6188,2900000,695,Vasai,1
6189,4600000,650,Vasai,1
6190,3800000,595,Vasai,1
6191,7400000,900,Vasai,2
6192,7500000,950,Vasai,2
6193,6220000,748,Vasai,2
6196,4700000,550,Vasai,1
6197,15500000,650,Vasai,1
6199,3243000,572,Vasai,1
6200,10700000,1050,Vasai,3
6201,6300000,800,Vasai,2
6203,3100000,353,Vasai,1
6204,2400000,572,Vasai,1
6206,13000000,1175,Vasai West,3
6208,4550000,500,Vasai West,1
6211,5800000,545,Vasai West,1
6212,4700000,325,Vasai West,1
6213,3500000,550,Vasai West,1
6214,5199000,550,Vasai West,1
6216,5500000,620,Vasai West,1
6220,2800000,516,Vasai West,1
6222,2900000,558,Vasai east,1
6223,13200000,540,Vasai east,1
6224,13200000,540,Vasai east,1
6225,4700000,450,Vasai east,1
6226,5200000,505,Vasai east,1
6227,2500000,585,Vasai east,1
6228,5800000,750,Vasai east,1
6232,13500000,800,Vasai east,2
6233,2450000,540,Vasai east,1
6234,5100000,1250,Vasai east,3
6235,3300000,600,Vasai east,1
6236,39000000,1200,Vasant Vihar,3
6237,31000000,2150,Vasant Vihar,4
6238,39000000,1109,Vasant Vihar,3
6239,31000000,2150,Vasant Vihar,4
6240,39000000,1109,Vasant Vihar,3
6241,8500000,900,Vashi,2
6242,6900000,570,Vashi,1
6243,10000000,1786,Vashi,3
6244,3325000,1154,Vashi,2
6245,3061000,1000,Vashi,2
6246,2116000,1000,Vashi,2
6247,6000000,1800,Vashi,3
6248,7800000,2050,Vashi,4
6249,4500000,1600,Vashi,3
6250,23500000,1212,Vashi,3
6251,4000000,2000,Vashi,4
6252,13000000,2000,Vashi,4
6253,50100000,1400,Ville Parle East,3
6254,30000000,1500,Ville Parle East,2
6256,28000000,700,Ville Parle East,1
6257,30000000,1100,Ville Parle East,2
6258,20000000,1100,Ville Parle East,2
6259,18900000,900,Ville Parle East,2
6262,50000000,1500,Ville Parle East,2
6269,29000000,950,Ville Parle East,2
6271,27500000,1200,Ville Parle East,2
6272,25000000,720,Ville Parle East,2
6273,29000000,900,Ville Parle East,2
6274,29000000,690,Ville Parle East,2
6275,13500000,690,Ville Parle East,2
6276,28000000,1400,Ville Parle East,2
6278,32500000,1400,Ville Parle East,2
6279,26000000,1278,Ville Parle East,2
6280,29000000,710,Ville Parle East,2
6281,26500000,1100,Ville Parle East,2
6286,15500000,772,Ville Parle East,2
6287,25000000,837,Ville Parle East,2
6290,62500000,1890,Ville Parle East,4
6293,27900000,980,Ville Parle East,2
6294,10000000,320,Ville Parle East,1
6295,6700000,320,Ville Parle East,1
6296,9500000,950,Ville Parle East,2
6297,28400000,805,Ville Parle East,2
6298,28800000,845,Ville Parle East,2
6299,29500000,853,Ville Parle East,2
6300,29500000,853,Ville Parle East,2
6301,36000000,895,Ville Parle East,2
6302,40400000,895,Ville Parle East,2
6303,40400000,907,Ville Parle East,2
6304,23000000,2100,Ville Parle East,5
6305,2700000,650,Virar,1
6306,2800000,650,Virar,1
6310,7031000,1030,Virar,3
6311,4800000,650,Virar,1
6312,2600000,650,Virar,1
6313,10500000,650,Virar,1
6315,3446000,412,Virar,1
6316,4656000,426,Virar,1
6317,5499000,536,Virar,2
6320,4300000,581,Virar,1
6322,2700000,680,Virar,1
6325,4067000,665,Virar,1
6327,12100000,630,Virar,1
6329,6200000,690,Virar,1
6333,3300000,690,Virar,1
6336,2200000,600,Virar,1
6339,4067000,665,Virar,1
6340,7700000,1335,Virar,4
6342,4794000,412,Virar,1
6343,7700000,1335,Virar,4
6345,4794000,412,Virar,1
6346,7700000,1335,Virar,4
6348,4794000,412,Virar,1
6350,4361000,387,Virar,1
6353,4100000,630,Virar,1
6354,10000000,615,Virar,2
6362,3900000,910,Virar,1
6371,9000000,910,Virar,2
6372,10000000,630,Virar,1
6373,8733000,418,Virar,2
6374,6898999,454,Virar,2
6376,3925000,338,Virar,1
6377,5000000,372,Virar,1
6380,3600000,412,Virar,1
6382,3622000,635,Virar,1
6384,3892000,805,Virar,1
6386,2677000,830,Virar,1
6388,3690000,835,Virar,1
6390,4275000,760,Virar,1
6391,2520000,595,Virar,1
6392,4004999,630,Virar,1
6394,4095000,660,Virar,1
6396,2767000,560,Virar,1
6398,3645000,755,Virar,1
6401,4410000,615,Virar,1
6403,3960000,810,Virar,1
6405,3829999,665,Virar,1
6409,4907000,630,Virar,1
6412,2500000,690,Virar,1
6413,5300000,650,Virar,1
6414,2950000,506,Virar,1
6415,12000000,800,Virar,2
6417,2600000,640,Virar,1
6418,2600000,640,Virar,1
6419,6663000,362,Virar,1
6420,6152000,362,Virar,1
6422,6500000,374,Virar,1
6424,5600000,348,Virar,1
6425,10000000,890,Virar,2
6426,2000000,420,Virar East,1
6427,2500000,540,Virar East,1
6428,2250000,415,Virar East,1
6429,2100000,370,Virar East,1
6430,2500000,540,Virar East,1
6431,2357000,540,Virar East,1
6432,3600000,555,Virar East,1
6433,2500000,555,Virar East,1
6434,11500000,540,Virar East,1
6435,4300000,545,Virar East,1
6436,3000000,715,Virar East,1
6437,2800000,715,Virar East,1
6438,16000000,545,Virar East,1
6439,2500000,615,Virar East,1
6440,12800000,575,Virar East,1
6441,4200000,610,Virar East,1
6442,3000000,560,Virar East,1
6445,3500000,575,Virar West,1
6449,12000000,650,Virar West,1
6451,2100000,500,Virar West,1
6454,3900000,910,Virar West,1
6456,4800000,600,Virar West,1
6457,2500000,590,Virar West,1
6458,3100000,660,Virar West,1
6459,33000000,1245,Wadala,3
6460,29000000,1153,Wadala,3
6461,28800000,1638,Wadala,3
6462,30000000,1701,Wadala,3
6463,45100000,2376,Wadala,3
6464,39200000,2061,Wadala,3
6465,25400000,1431,Wadala,2
6466,31000000,1267,Wadala,3
6467,40000000,1735,Wadala,3
6468,12500000,510,Wadala,1
6469,40000000,1735,Wadala,3
6470,18900000,1086,Wadala,3
6471,13899999,925,Wadala,2
6472,57200000,2005,Wadala,4
6473,30000000,1655,Wadala,3
6474,27000000,1440,Wadala,3
6475,15300000,880,Wadala,2
6476,13799999,906,Wadala,2
6477,15800000,1395,Wadala,2
6478,56000000,2200,Wadala East Wadala,3
6479,15500000,680,Wadala East Wadala,1
6482,14000000,690,Wadala East Wadala,1
6483,13500000,950,Wadala East Wadala,1
6486,14000000,690,Wadala East Wadala,1
6487,13500000,950,Wadala East Wadala,1
6488,56000000,2200,Wadala East Wadala,3
6489,24800000,958,Wadala East Wadala,2
6490,21500000,769,Wadala East Wadala,1
6491,21000000,1371,Wadala East Wadala,3
6492,32500000,1543,Wadala East Wadala,3
6493,21000000,1250,Wadala East Wadala,3
6494,19500000,800,Worli,1
6495,65000000,2285,Worli,3
6496,71000000,3150,Worli,4
6497,55000000,2580,Worli,3
6498,71500000,3582,Worli,3
6499,37500000,1500,Worli,3
6500,16500000,893,Worli,2
6501,17500000,1092,Worli,3
6502,55000000,1296,matunga east,3
6503,50000000,1296,matunga east,3
6506,3300000,560,matunga east,1
6507,55000000,1296,matunga east,3
6509,37000000,900,matunga east,2
6511,29500000,850,matunga east,2
6512,7500000,1000,matunga east,2
6516,42000000,850,matunga east,2
6518,11000000,850,matunga east,2
6519,11000000,850,matunga east,2
6523,2011000,595,mumbai,1
6524,2014999,597,mumbai,1
6525,2021000,598,mumbai,1
6526,2100000,600,mumbai,1
6527,13000000,630,mumbai,1
6528,16800000,2700,mumbai,4
6529,16800000,2700,mumbai,4
6530,11100000,653,mumbai,1
6531,11100000,653,mumbai,1
6532,7700000,653,mumbai,1
